# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
3523.1 9278 -65.199 98.248 1.799 64.120 2.798 1.235 1.859 2619 1115 1867 -1.595 0.6385 -0.4783 70.92
3533.1 9278 -65.945 98.757 1.780 63.774 2.797 1.236 1.859 2646 1103 1875 -1.611 0.6296 -0.4907 70.92
3543.1 8856 -58.828 93.551 1.762 62.701 2.642 1.246 1.814 2407 1081 1744 -1.408 0.6265 -0.3907 70.12
3553.1 8834 -59.187 93.749 1.712 62.298 2.635 1.246 1.812 2419 1068 1744 -1.412 0.6166 -0.3977 70.08
3563.1 8804 -59.414 93.787 1.682 61.916 2.624 1.247 1.809 2424 1056 1740 -1.41 0.6069 -0.4014 70.04
3573.1 8790 -59.897 94.054 1.632 61.554 2.619 1.247 1.807 2439 1045 1742 -1.415 0.596 -0.4093 70.01
3583.1 8775 -60.374 94.350 1.595 61.163 2.614 1.246 1.805 2457 1032 1745 -1.421 0.5844 -0.4181 69.99
3593.1 8752 -60.710 94.428 1.563 60.833 2.603 1.247 1.801 2464 1023 1743 -1.417 0.573 -0.4222 69.95
3603.1 8730 -61.028 94.591 1.532 60.468 2.595 1.247 1.798 2476 1012 1744 -1.415 0.5607 -0.4274 69.91
3613.1 8711 -61.364 94.868 1.494 60.087 2.591 1.245 1.796 2493 1000 1746 -1.419 0.547 -0.4359 69.87
3623.1 8690 -61.620 95.069 1.440 59.769 2.585 1.245 1.793 2505 990.1 1748 -1.418 0.5333 -0.4422 69.83
3633.1 8669 -61.965 95.286 1.398 59.414 2.58 1.244 1.791 2519 979.2 1749 -1.416 0.5187 -0.4485 69.79
3643.1 8651 -62.332 95.494 1.391 59.101 2.576 1.243 1.789 2531 969.6 1751 -1.413 0.5045 -0.4545 69.76
3653.1 8629 -62.693 95.644 1.351 58.755 2.57 1.242 1.786 2542 959.4 1751 -1.409 0.4896 -0.4599 69.73
3663.1 8609 -63.071 95.920 1.423 58.371 2.57 1.239 1.784 2559 947.5 1753 -1.409 0.4734 -0.4677 69.7
3673.1 8592 -63.429 96.122 1.439 58.094 2.567 1.239 1.783 2571 938.9 1755 -1.405 0.459 -0.473 69.66
3683.1 8559 -63.726 96.024 1.452 57.752 2.554 1.238 1.778 2571 930 1750 -1.391 0.4453 -0.4729 69.61
3693.1 8537 -64.204 96.035 1.342 57.470 2.548 1.237 1.775 2575 922.1 1748 -1.381 0.4311 -0.475 69.58
3703.1 8512 -64.576 96.033 1.292 57.182 2.541 1.236 1.772 2577 913.8 1746 -1.37 0.4167 -0.4769 69.55
3713.1 8497 -64.881 96.272 1.286 56.949 2.542 1.236 1.772 2590 906.2 1748 -1.369 0.4019 -0.4837 69.52
3723.1 8476 -65.115 96.515 1.196 56.646 2.542 1.235 1.771 2603 896.5 1749 -1.368 0.3865 -0.4908 69.48
3733.1 8451 -65.318 96.669 1.144 56.342 2.541 1.233 1.77 2612 887.1 1749 -1.363 0.3713 -0.496 69.44
3743.1 8429 -65.603 96.897 1.061 56.017 2.541 1.23 1.768 2626 877.8 1752 -1.365 0.3567 -0.5039 69.41
3753.1 8407 -65.965 96.987 0.991 55.724 2.538 1.227 1.765 2634 869.6 1752 -1.358 0.3428 -0.5076 69.38
3763.1 8390 -66.222 97.238 0.989 55.486 2.54 1.226 1.765 2647 861.8 1754 -1.356 0.3282 -0.5138 69.34
3773.1 8367 -66.611 97.303 1.038 55.210 2.537 1.225 1.763 2653 854 1753 -1.348 0.3138 -0.5169 69.32
3783.1 8344 -66.995 97.331 1.013 54.943 2.533 1.222 1.759 2658 847.1 1753 -1.338 0.3007 -0.5188 69.29
3793.1 8326 -67.501 97.334 0.948 54.751 2.528 1.222 1.757 2661 841.8 1751 -1.327 0.2869 -0.5199 69.27
3803.1 8316 -68.006 97.604 0.933 54.547 2.531 1.221 1.758 2675 835.5 1755 -1.323 0.2723 -0.5255 69.25
3813.1 8304 -68.348 97.919 0.941 54.350 2.536 1.22 1.759 2690 828.7 1759 -1.322 0.2579 -0.5323 69.23
3823.1 8284 -68.687 98.120 0.980 54.076 2.536 1.215 1.755 2705 821.7 1763 -1.32 0.245 -0.5375 69.21
3833.1 8259 -68.918 98.261 1.010 53.829 2.535 1.213 1.754 2714 814.4 1764 -1.313 0.2314 -0.5406 69.16
3843.1 8240 -69.284 98.367 0.976 53.648 2.534 1.213 1.753 2720 809.1 1765 -1.304 0.218 -0.5429 69.14
3853.1 8222 -69.608 98.530 0.931 53.464 2.535 1.212 1.752 2729 803.5 1766 -1.3 0.2045 -0.5476 69.11
3863.1 8205 -69.977 98.743 0.908 53.239 2.534 1.21 1.751 2743 797.3 1770 -1.297 0.1923 -0.5522 69.09
3873.1 8187 -70.285 98.938 0.873 53.056 2.534 1.208 1.749 2755 792.3 1774 -1.297 0.1807 -0.558 69.07
3883.1 8167 -70.499 99.134 0.775 52.892 2.534 1.207 1.749 2766 787.3 1777 -1.296 0.1694 -0.5631 69.03
3893.1 8155 -70.850 99.410 0.754 52.770 2.535 1.207 1.749 2780 783.4 1782 -1.297 0.1583 -0.5694 69.02
3903.1 8133 -71.121 99.603 0.765 52.539 2.533 1.204 1.746 2794 777.3 1786 -1.294 0.1481 -0.573 68.98
3913.1 8113 -71.339 99.819 0.769 52.367 2.531 1.203 1.744 2808 772.8 1790 -1.295 0.1392 -0.578 68.95
3923.1 8089 -71.432 100.066 0.771 52.163 2.528 1.201 1.742 2823 767.2 1795 -1.299 0.1301 -0.5844 68.91
3933.1 8072 -71.779 100.291 0.721 51.962 2.524 1.199 1.739 2841 762.7 1802 -1.299 0.1224 -0.5884 68.89
3943.1 8063 -72.171 100.581 0.729 51.879 2.522 1.199 1.739 2858 760.2 1809 -1.3 0.1139 -0.5932 68.88
3953.1 8063 -72.683 101.014 0.713 51.818 2.523 1.199 1.739 2881 758.2 1820 -1.304 0.1057 -0.599 68.88
3963.1 8063 -73.192 101.446 0.697 51.764 2.524 1.2 1.74 2905 756.3 1831 -1.306 0.09767 -0.6041 68.88
3973.1 8058 -73.605 101.837 0.637 51.693 2.524 1.201 1.741 2926 753.9 1840 -1.306 0.08968 -0.6081 68.87
3983.1 7985 -73.040 101.415 0.527 51.331 2.501 1.197 1.73 2916 747 1831 -1.287 0.08442 -0.601 68.76
3993.1 7968 -73.533 101.476 0.388 51.209 2.49 1.197 1.726 2924 744.7 1834 -1.267 0.07549 -0.5957 68.74
4003.1 7955 -73.872 101.648 0.366 51.147 2.486 1.199 1.726 2934 742.8 1838 -1.245 0.06547 -0.5896 68.72
4013.1 7938 -74.271 101.711 0.372 51.077 2.478 1.201 1.724 2940 741.4 1841 -1.214 0.05317 -0.5803 68.7
4023.1 7915 -74.533 101.850 0.261 50.876 2.47 1.199 1.721 2953 736.9 1845 -1.176 0.03818 -0.569 68.67
4033.1 7901 -74.718 102.102 0.210 50.818 2.467 1.2 1.721 2967 735 1851 -1.135 0.0212 -0.557 68.65
4043.1 7878 -74.882 102.087 0.177 50.773 2.459 1.201 1.719 2969 734.4 1852 -1.079 0.002405 -0.5382 68.62
4053.1 7858 -75.107 102.101 0.217 50.742 2.451 1.202 1.716 2974 734.5 1854 -1.014 -0.01928 -0.5164 68.59
4063.1 7843 -75.461 102.065 0.180 50.786 2.441 1.204 1.714 2975 736.7 1856 -0.9382 -0.04448 -0.4913 68.58
4073.1 7828 -75.833 102.045 0.130 50.765 2.43 1.202 1.709 2983 738.1 1860 -0.8517 -0.07283 -0.4623 68.56
4083.1 7811 -76.139 102.038 0.190 50.725 2.421 1.198 1.702 2994 739.8 1867 -0.7589 -0.1027 -0.4308 68.55
4093.1 7797 -76.293 102.110 0.217 50.763 2.414 1.196 1.699 3004 742.4 1873 -0.6592 -0.1364 -0.3978 68.53
4103.1 7786 -76.537 102.111 0.235 50.836 2.407 1.194 1.695 3010 746.1 1878 -0.5557 -0.1706 -0.3631 68.51
4113.1 7774 -76.921 101.913 0.260 50.957 2.396 1.194 1.691 3005 751.4 1878 -0.4441 -0.2074 -0.3258 68.51
4123.1 7765 -77.106 101.933 0.246 51.063 2.393 1.193 1.689 3010 755.4 1883 -0.3361 -0.2434 -0.2897 68.49
4133.1 7756 -77.336 101.879 0.333 51.190 2.389 1.192 1.687 3010 760 1885 -0.2252 -0.2808 -0.253 68.48
4143.1 7748 -77.433 101.896 0.328 51.330 2.388 1.19 1.685 3014 764.8 1889 -0.1156 -0.3177 -0.2167 68.47
4153.1 7730 -77.412 101.795 0.369 51.394 2.386 1.186 1.682 3013 768 1890 -0.002744 -0.3543 -0.1785 68.44
4163.1 7727 -77.539 101.768 0.397 51.629 2.386 1.185 1.681 3012 775.3 1894 0.1078 -0.3926 -0.1424 68.44
4173.1 7725 -77.648 101.700 0.357 51.905 2.385 1.185 1.681 3008 783.6 1896 0.2189 -0.432 -0.1065 68.44
4183.1 7714 -77.590 101.562 0.385 52.091 2.385 1.183 1.679 3003 790.1 1897 0.3309 -0.4697 -0.06936 68.42
4193.1 7710 -77.627 101.427 0.436 52.366 2.384 1.182 1.678 2997 798.7 1898 0.4425 -0.5096 -0.03354 68.42
4203.1 7709 -77.664 101.249 0.434 52.730 2.384 1.182 1.678 2985 809.7 1897 0.5528 -0.5513 0.0007457 68.42
4213.1 7704 -77.616 101.027 0.412 53.078 2.384 1.182 1.678 2972 820.3 1896 0.6632 -0.5935 0.03487 68.41
4223.1 7699 -77.533 100.761 0.361 53.461 2.384 1.181 1.678 2955 832 1894 0.7721 -0.6365 0.06777 68.4
4233.1 7691 -77.460 100.441 0.344 53.766 2.382 1.178 1.675 2941 842.7 1892 0.8809 -0.6778 0.1016 68.39
4243.1 7687 -77.353 100.122 0.328 54.189 2.382 1.177 1.674 2923 856.1 1889 0.9877 -0.7224 0.1327 68.39
4253.1 7675 -77.084 99.726 0.283 54.567 2.381 1.175 1.672 2902 868.8 1885 1.093 -0.7668 0.163 68.37
4263.1 7670 -76.909 99.332 0.312 55.022 2.381 1.173 1.67 2881 883.8 1882 1.197 -0.8127 0.192 68.37
4273.1 7665 -76.772 98.875 0.284 55.459 2.38 1.169 1.668 2858 899 1878 1.299 -0.8583 0.2205 68.37
4283.1 7660 -76.538 98.407 0.283 55.980 2.38 1.169 1.667 2830 915.9 1873 1.399 -0.9081 0.2454 68.36
4293.1 7658 -76.318 97.908 0.270 56.559 2.381 1.168 1.667 2801 934.6 1868 1.495 -0.96 0.2677 68.36
4303.1 7656 -76.070 97.372 0.258 57.168 2.382 1.167 1.667 2769 954.5 1862 1.589 -1.013 0.2879 68.35
4313.1 7648 -75.725 96.803 0.284 57.715 2.383 1.164 1.664 2739 973.8 1857 1.682 -1.065 0.3083 68.35
4323.1 7643 -75.384 96.193 0.250 58.337 2.383 1.161 1.663 2706 995.1 1850 1.77 -1.12 0.3251 68.34
4333.1 7641 -75.053 95.549 0.240 59.029 2.385 1.16 1.663 2669 1019 1844 1.854 -1.178 0.338 68.34
4343.1 7641 -74.727 94.878 0.227 59.766 2.387 1.159 1.663 2630 1044 1837 1.933 -1.238 0.3479 68.34
4353.1 7633 -74.274 94.163 0.236 60.402 2.39 1.155 1.661 2591 1066 1829 2.01 -1.294 0.358 68.33
4363.1 7631 -73.878 93.431 0.262 61.152 2.394 1.152 1.66 2551 1093 1822 2.08 -1.353 0.3635 68.32
4373.1 7629 -73.452 92.663 0.280 61.948 2.398 1.15 1.66 2508 1121 1814 2.139 -1.411 0.3642 68.32
4383.1 7625 -72.975 91.863 0.261 62.746 2.401 1.148 1.66 2464 1150 1807 2.188 -1.465 0.3618 68.31
4393.1 7624 -72.525 91.050 0.231 63.591 2.403 1.148 1.66 2419 1180 1800 2.226 -1.516 0.355 68.31
4403.1 7617 -72.057 90.243 0.322 64.139 2.404 1.142 1.656 2381 1203 1792 2.262 -1.552 0.355 68.32
4413.1 7611 -71.537 89.388 0.355 64.868 2.404 1.141 1.655 2337 1231 1784 2.282 -1.591 0.3457 68.31
4423.1 7608 -71.044 88.534 0.297 65.634 2.405 1.14 1.655 2293 1260 1776 2.294 -1.627 0.3332 68.31
4433.1 7602 -70.556 87.670 0.268 66.240 2.404 1.136 1.652 2251 1285 1768 2.301 -1.653 0.3238 68.31
4443.1 7597 -70.028 86.789 0.154 66.962 2.403 1.135 1.651 2207 1314 1761 2.298 -1.681 0.3085 68.31
4453.1 7594 -69.562 85.868 0.124 67.748 2.4 1.136 1.651 2161 1345 1753 2.286 -1.708 0.2889 68.31
4463.1 7590 -69.087 84.960 0.165 68.475 2.398 1.136 1.65 2117 1375 1746 2.27 -1.73 0.2701 68.32
4473.1 7584 -68.568 84.077 0.124 69.139 2.397 1.135 1.649 2074 1403 1738 2.251 -1.748 0.2518 68.32
4483.1 7584 -68.040 83.177 0.111 70.057 2.395 1.138 1.65 2028 1439 1734 2.225 -1.775 0.2251 68.32
4493.1 7584 -67.508 82.277 0.098 70.977 2.393 1.14 1.651 1983 1476 1729 2.197 -1.802 0.1975 68.32
4503.1 7584 -66.974 81.378 0.085 71.901 2.392 1.142 1.652 1939 1513 1726 2.168 -1.83 0.1692 68.32
4513.1 7584 -66.438 80.482 0.072 72.827 2.391 1.144 1.653 1895 1552 1723 2.138 -1.857 0.1404 68.32
4523.1 7584 -65.900 79.587 0.058 73.756 2.39 1.146 1.654 1852 1591 1722 2.107 -1.885 0.1111 68.32
4533.1 7584 -65.361 78.696 0.045 74.688 2.389 1.147 1.654 1811 1631 1721 2.075 -1.912 0.08152 68.32
4543.1 7584 -64.820 77.808 0.031 75.622 2.389 1.147 1.655 1770 1671 1720 2.043 -1.94 0.05162 68.32
4553.1 7584 -64.278 76.924 0.018 76.559 2.388 1.148 1.655 1729 1713 1721 2.011 -1.968 0.02147 68.32
4563.1 7584 -63.735 76.044 0.004 77.497 2.388 1.149 1.655 1690 1755 1722 1.978 -1.995 -0.00888 68.32
4573.1 7584 -63.192 75.169 -0.009 78.438 2.387 1.149 1.655 1651 1798 1724 1.945 -2.023 -0.0394 68.32
4583.1 7584 -62.647 74.298 -0.023 79.380 2.387 1.149 1.655 1613 1841 1727 1.911 -2.051 -0.07007 68.32
4593.1 7584 -62.102 73.433 -0.036 80.325 2.387 1.149 1.655 1575 1885 1730 1.877 -2.079 -0.1009 68.32
4603.1 7584 -61.557 72.573 -0.050 81.271 2.386 1.149 1.655 1539 1930 1734 1.844 -2.107 -0.1317 68.32
4613.1 7584 -61.011 71.719 -0.064 82.218 2.386 1.149 1.655 1503 1975 1739 1.81 -2.135 -0.1627 68.32
4623.1 7584 -60.465 70.870 -0.077 83.168 2.386 1.149 1.655 1468 2021 1744 1.776 -2.163 -0.1938 68.32
4633.1 7584 -59.918 70.029 -0.091 84.119 2.386 1.149 1.655 1433 2068 1751 1.741 -2.191 -0.2249 68.32
4643.1 7584 -59.372 69.194 -0.104 85.071 2.385 1.149 1.655 1399 2115 1757 1.707 -2.219 -0.256 68.32
4653.1 7584 -58.825 68.366 -0.118 86.025 2.385 1.149 1.654 1366 2163 1765 1.673 -2.247 -0.2872 68.32
4663.1 7584 -58.277 67.545 -0.132 86.980 2.385 1.148 1.654 1334 2212 1773 1.638 -2.275 -0.3185 68.32
4673.1 7584 -57.730 66.732 -0.145 87.936 2.385 1.148 1.654 1302 2261 1781 1.604 -2.303 -0.3497 68.32
4683.1 7584 -57.183 65.926 -0.159 88.894 2.385 1.148 1.654 1271 2311 1791 1.569 -2.331 -0.381 68.32
4693.1 7584 -56.635 65.129 -0.173 89.853 2.385 1.148 1.654 1240 2361 1801 1.534 -2.359 -0.4123 68.32
4703.1 7584 -56.087 64.340 -0.186 90.813 2.385 1.148 1.653 1211 2412 1811 1.499 -2.387 -0.4437 68.32
4713.1 7584 -55.539 63.561 -0.200 91.774 2.385 1.147 1.653 1182 2464 1823 1.465 -2.415 -0.475 68.32
4723.1 7584 -54.991 62.790 -0.214 92.736 2.385 1.147 1.653 1153 2516 1835 1.43 -2.443 -0.5064 68.32
4733.1 7584 -54.444 62.029 -0.227 93.699 2.385 1.147 1.653 1126 2569 1847 1.395 -2.47 -0.5378 68.32
4743.1 7584 -53.896 61.279 -0.241 94.663 2.385 1.147 1.653 1099 2622 1860 1.36 -2.498 -0.5691 68.32
4753.1 7584 -53.348 60.538 -0.254 95.628 2.385 1.146 1.653 1072 2676 1874 1.325 -2.526 -0.6005 68.32
4763.1 7584 -52.800 59.808 -0.268 96.594 2.385 1.146 1.653 1047 2730 1889 1.29 -2.553 -0.6319 68.32
4773.1 7584 -52.252 59.090 -0.282 97.561 2.385 1.146 1.652 1022 2786 1904 1.254 -2.581 -0.6632 68.32
4783.1 7584 -51.704 58.383 -0.295 98.528 2.385 1.146 1.652 997.6 2841 1919 1.219 -2.609 -0.6946 68.32
4793.1 7584 -51.156 57.688 -0.309 99.496 2.385 1.146 1.652 974 2897 1936 1.184 -2.636 -0.7259 68.32
4803.1 7584 -50.608 57.006 -0.323 100.465 2.385 1.146 1.652 951.2 2954 1953 1.149 -2.664 -0.7573 68.32
4813.1 7584 -50.060 56.337 -0.336 101.435 2.385 1.146 1.652 929 3012 1970 1.114 -2.691 -0.7886 68.32
4823.1 7584 -49.512 55.681 -0.350 102.406 2.385 1.146 1.652 907.5 3070 1989 1.079 -2.719 -0.82 68.32
4833.1 7584 -48.964 55.038 -0.364 103.377 2.385 1.145 1.652 886.7 3128 2007 1.044 -2.746 -0.8513 68.32
4843.1 7584 -48.416 54.411 -0.377 104.349 2.385 1.145 1.652 866.6 3187 2027 1.008 -2.774 -0.8826 68.32
4853.1 7584 -47.868 53.798 -0.391 105.322 2.386 1.145 1.652 847.1 3247 2047 0.9731 -2.801 -0.9139 68.32
4863.1 7584 -47.320 53.200 -0.405 106.295 2.386 1.145 1.652 828.4 3307 2068 0.9379 -2.828 -0.9452 68.32
4873.1 7584 -46.772 52.619 -0.418 107.269 2.386 1.145 1.652 810.3 3368 2089 0.9027 -2.856 -0.9765 68.32
4883.1 7584 -46.224 52.053 -0.432 108.243 2.386 1.145 1.652 793 3429 2111 0.8674 -2.883 -1.008 68.32
4893.1 7584 -45.676 51.505 -0.445 109.218 2.386 1.146 1.652 776.3 3491 2134 0.8322 -2.91 -1.039 68.32
4903.1 7584 -45.128 50.974 -0.459 110.194 2.386 1.146 1.653 760.3 3553 2157 0.797 -2.937 -1.07 68.32
4913.1 7584 -44.580 50.462 -0.473 111.170 2.387 1.146 1.653 745.1 3616 2181 0.7617 -2.965 -1.101 68.32
4923.1 7584 -44.032 49.968 -0.486 112.147 2.387 1.146 1.653 730.5 3680 2205 0.7265 -2.992 -1.133 68.32
4933.1 7584 -43.484 49.493 -0.500 113.124 2.387 1.146 1.653 716.6 3744 2230 0.6912 -3.019 -1.164 68.32
4943.1 7584 -42.936 49.038 -0.514 114.102 2.387 1.146 1.653 703.4 3808 2256 0.656 -3.046 -1.195 68.32
4953.1 7584 -42.388 48.603 -0.527 115.080 2.388 1.146 1.654 690.9 3873 2282 0.6207 -3.073 -1.226 68.32
4963.1 7584 -41.840 48.189 -0.541 116.059 2.388 1.146 1.654 679.1 3939 2309 0.5855 -3.1 -1.257 68.32
4973.1 7584 -41.292 47.797 -0.555 117.039 2.388 1.147 1.654 667.9 4005 2336 0.5502 -3.127 -1.288 68.32
4983.1 7584 -40.745 47.426 -0.568 118.019 2.389 1.147 1.654 657.5 4072 2365 0.515 -3.154 -1.319 68.32
4993.1 7584 -40.197 47.078 -0.582 118.999 2.389 1.147 1.655 647.8 4139 2393 0.4798 -3.181 -1.351 68.32
5003.1 7584 -39.649 46.753 -0.596 119.980 2.389 1.147 1.655 638.7 4207 2423 0.4445 -3.208 -1.382 68.32
5013.1 7584 -39.101 46.451 -0.609 120.961 2.39 1.148 1.655 630.4 4275 2453 0.4093 -3.234 -1.413 68.32
5023.1 7584 -38.553 46.173 -0.623 121.942 2.39 1.148 1.656 622.8 4344 2483 0.3741 -3.261 -1.444 68.32
5033.1 7584 -38.005 45.920 -0.636 122.924 2.39 1.148 1.656 615.8 4413 2514 0.3389 -3.288 -1.474 68.32
5043.1 7584 -37.457 45.691 -0.650 123.907 2.391 1.149 1.656 609.5 4483 2546 0.3037 -3.314 -1.505 68.32
5053.1 7583 -36.917 45.485 -0.598 124.767 2.391 1.148 1.656 604.2 4546 2575 0.2689 -3.336 -1.534 68.32
5063.1 7583 -36.369 45.307 -0.611 125.749 2.392 1.148 1.656 599.3 4617 2608 0.2338 -3.363 -1.565 68.32
5073.1 7583 -35.821 45.154 -0.624 126.731 2.392 1.149 1.657 595.2 4688 2642 0.1986 -3.389 -1.595 68.32
5083.1 7582 -35.275 45.030 -0.571 127.593 2.393 1.148 1.656 592 4753 2673 0.1636 -3.411 -1.624 68.32
5093.1 7582 -34.727 44.929 -0.584 128.575 2.393 1.148 1.657 589.2 4825 2707 0.1284 -3.438 -1.655 68.32
5103.1 7581 -34.190 44.848 -0.530 129.439 2.393 1.148 1.656 587.2 4891 2739 0.09364 -3.459 -1.683 68.32
5113.1 7576 -33.657 44.779 -0.608 129.840 2.393 1.142 1.652 587.1 4936 2761 0.06006 -3.467 -1.703 68.33
5123.1 7573 -33.109 44.764 -0.423 130.466 2.394 1.139 1.65 587.4 4989 2788 0.02492 -3.48 -1.728 68.33
5133.1 7571 -32.580 44.759 -0.434 131.207 2.394 1.137 1.649 587.6 5049 2818 -0.00992 -3.497 -1.754 68.33
5143.1 7568 -32.023 44.794 -0.248 131.835 2.395 1.133 1.647 589.4 5106 2847 -0.04504 -3.513 -1.779 68.34
5153.1 7567 -31.483 44.848 -0.191 132.690 2.396 1.133 1.647 590.9 5173 2882 -0.08031 -3.534 -1.807 68.34
5163.1 7371 -31.758 44.489 -0.674 117.108 2.385 0.985 1.532 627.1 4345 2486 -0.1003 -2.956 -1.528 68.5
5173.1 7366 -31.215 44.562 -0.442 117.608 2.384 0.9814 1.529 630.5 4391 2511 -0.1387 -2.968 -1.554 68.51
5183.1 7358 -30.658 44.673 -0.553 117.905 2.385 0.9765 1.525 635.3 4425 2530 -0.1763 -2.972 -1.574 68.52
5193.1 7350 -30.146 44.800 -0.566 118.197 2.385 0.9722 1.522 640.4 4458 2549 -0.2151 -2.974 -1.594 68.52
5203.1 7347 -29.598 44.963 -0.431 118.823 2.385 0.9704 1.521 645.6 4509 2577 -0.2534 -2.988 -1.621 68.53
5213.1 7344 -29.046 45.130 -0.294 119.448 2.384 0.9679 1.518 651.4 4563 2607 -0.2909 -3.005 -1.648 68.53
5223.1 7344 -28.496 45.349 -0.305 120.270 2.385 0.9678 1.518 657.7 4626 2642 -0.3295 -3.026 -1.678 68.53
5233.1 7344 -27.945 45.593 -0.315 121.092 2.385 0.9677 1.519 664.8 4689 2677 -0.368 -3.048 -1.708 68.53
5243.1 7344 -27.395 45.862 -0.325 121.915 2.385 0.9676 1.519 672.6 4753 2713 -0.4066 -3.069 -1.738 68.53
5253.1 7344 -26.845 46.155 -0.335 122.738 2.386 0.9676 1.519 681.2 4817 2749 -0.4451 -3.09 -1.768 68.53
5263.1 7344 -26.295 46.472 -0.345 123.562 2.386 0.9675 1.519 690.6 4882 2786 -0.4836 -3.112 -1.798 68.53
5273.1 7344 -25.744 46.813 -0.355 124.385 2.387 0.9675 1.519 700.7 4947 2824 -0.5222 -3.133 -1.828 68.53
5283.1 7344 -25.194 47.177 -0.365 125.209 2.387 0.9674 1.519 711.5 5012 2862 -0.5607 -3.155 -1.858 68.53
5293.1 7344 -24.644 47.563 -0.375 126.033 2.388 0.9674 1.519 723.2 5078 2900 -0.5992 -3.176 -1.888 68.53
5303.1 7344 -24.094 47.971 -0.385 126.858 2.388 0.9674 1.519 735.6 5144 2940 -0.6377 -3.197 -1.917 68.53
5313.1 7344 -23.543 48.401 -0.395 127.683 2.389 0.9674 1.52 748.7 5210 2980 -0.6762 -3.218 -1.947 68.53
5323.1 7344 -22.993 48.851 -0.405 128.508 2.389 0.9674 1.52 762.6 5277 3020 -0.7146 -3.24 -1.977 68.53
5333.1 7344 -22.443 49.321 -0.415 129.333 2.39 0.9674 1.52 777.3 5345 3061 -0.7531 -3.261 -2.007 68.53
5343.1 7344 -21.892 49.811 -0.425 130.159 2.391 0.9674 1.52 792.7 5412 3103 -0.7915 -3.282 -2.037 68.53
5353.1 7344 -21.342 50.321 -0.435 130.984 2.391 0.9675 1.52 808.9 5481 3145 -0.8299 -3.303 -2.067 68.53
5363.1 7344 -20.792 50.848 -0.445 131.810 2.392 0.9675 1.521 825.8 5549 3187 -0.8683 -3.324 -2.096 68.53
5373.1 7344 -20.242 51.394 -0.455 132.637 2.392 0.9676 1.521 843.5 5618 3231 -0.9067 -3.345 -2.126 68.53
5383.1 7182 -19.838 51.733 0.027 130.315 2.382 0.9433 1.498 867.6 5505 3186 -0.9578 -3.252 -2.105 68.53
5393.1 5607 -20.054 49.381 -0.522 81.241 2.232 0.5697 1.127 1056 2859 1958 -1.252 -1.591 -1.421 68.75
5403.1 5587 -19.460 49.922 -0.431 81.376 2.231 0.5667 1.124 1082 2876 1979 -1.304 -1.591 -1.448 68.74
5413.1 5567 -18.929 50.520 -0.549 81.468 2.232 0.5634 1.121 1111 2890 2001 -1.358 -1.59 -1.474 68.74
5423.1 5548 -18.377 51.131 -0.645 81.583 2.228 0.5609 1.117 1142 2907 2025 -1.411 -1.593 -1.502 68.73
5433.1 5535 -17.824 51.701 -0.649 81.840 2.226 0.5595 1.116 1169 2930 2050 -1.46 -1.598 -1.529 68.72
5443.1 5506 -17.403 52.304 -0.760 81.772 2.225 0.5546 1.111 1202 2939 2070 -1.513 -1.594 -1.553 68.71
5453.1 5480 -16.852 52.914 -0.736 81.787 2.222 0.5513 1.106 1235 2951 2093 -1.565 -1.592 -1.578 68.71
5463.1 5457 -16.328 53.511 -0.494 81.865 2.22 0.5477 1.102 1268 2967 2118 -1.614 -1.592 -1.603 68.71
5473.1 5432 -15.791 54.135 -0.531 81.897 2.215 0.5445 1.098 1303 2981 2142 -1.664 -1.593 -1.628 68.7
5483.1 5407 -15.368 54.678 -0.524 81.965 2.209 0.5414 1.093 1335 2999 2167 -1.71 -1.594 -1.652 68.69
5493.1 5388 -14.894 55.326 -0.599 82.086 2.207 0.5379 1.089 1371 3019 2195 -1.763 -1.597 -1.68 68.69
5503.1 5361 -14.443 55.888 -0.560 82.126 2.2 0.5341 1.084 1407 3037 2222 -1.809 -1.599 -1.704 68.69
5513.1 5339 -14.011 56.475 -0.673 82.237 2.197 0.5303 1.079 1442 3058 2250 -1.858 -1.602 -1.73 68.68
5523.1 5314 -13.535 57.080 -0.711 82.297 2.194 0.5266 1.075 1480 3076 2278 -1.907 -1.604 -1.756 68.68
5533.1 5297 -13.073 57.728 -0.853 82.471 2.191 0.5244 1.072 1517 3097 2307 -1.955 -1.611 -1.783 68.67
5543.1 5266 -12.888 58.137 -0.949 82.531 2.179 0.5212 1.065 1548 3119 2333 -1.99 -1.617 -1.804 68.66
5553.1 5239 -12.496 58.748 -0.881 82.558 2.176 0.5176 1.061 1587 3134 2360 -2.036 -1.622 -1.829 68.65
5563.1 5217 -12.102 59.388 -1.081 82.655 2.174 0.5144 1.057 1627 3152 2390 -2.083 -1.629 -1.856 68.63
5573.1 5195 -11.645 59.996 -1.140 82.793 2.17 0.511 1.053 1668 3176 2422 -2.125 -1.638 -1.882 68.63
5583.1 5162 -11.324 60.441 -1.187 82.841 2.159 0.5078 1.047 1702 3197 2449 -2.157 -1.648 -1.902 68.62
5593.1 5162 -10.775 61.194 -1.198 83.278 2.159 0.5075 1.047 1745 3232 2488 -2.201 -1.669 -1.935 68.62
